"cumulative_datetime","count"
"2014-07-15 14:25:00",30
"2014-07-15 14:30:00",47
"2014-07-15 14:35:00",41
"2014-07-15 14:40:00",40
"2014-07-15 14:45:00",50
"2014-07-15 14:50:00",88
"2014-07-15 14:55:00",80
"2014-07-15 15:00:00",45
"2014-07-15 15:05:00",1
"2014-07-15 15:10:00",21
"2014-07-15 15:15:00",34
"2014-07-15 15:20:00",46
"2014-07-15 15:25:00",26
"2014-07-15 15:30:00",10
"2014-07-15 15:35:00",4
"2014-07-15 15:40:00",27
"2014-07-15 15:45:00",19
"2014-07-15 15:50:00",25
"2014-07-15 15:55:00",66
"2014-07-15 16:00:00",60
"2014-07-15 16:05:00",64
"2014-07-15 16:10:00",53
"2014-07-15 16:15:00",59
"2014-07-15 16:20:00",37
"2014-07-15 16:25:00",12
"2014-07-15 16:30:00",46
"2014-07-15 16:35:00",68
"2014-07-15 16:40:00",19
"2014-07-15 16:45:00",27
"2014-07-15 16:50:00",18
"2014-07-15 16:55:00",67
"2014-07-15 17:00:00",7
"2014-07-15 17:05:00",23
"2014-07-15 17:10:00",13
"2014-07-15 17:15:00",48
"2014-07-15 17:20:00",14
"2014-07-15 17:25:00",30
"2014-07-15 17:30:00",9
"2014-07-15 17:35:00",15
"2014-07-15 17:40:00",6
"2014-07-15 17:45:00",10
"2014-07-15 17:50:00",52
"2014-07-15 17:55:00",0
"2014-07-15 18:00:00",0
"2014-07-15 18:05:00",0
"2014-07-15 18:10:00",0
"2014-07-15 18:15:00",19
"2014-07-15 18:20:00",17
"2014-07-15 18:25:00",2
"2014-07-15 18:30:00",2
"2014-07-15 18:35:00",0
"2014-07-15 18:40:00",2
"2014-07-15 18:45:00",8
"2014-07-15 18:50:00",0
"2014-07-15 18:55:00",0
"2014-07-15 19:00:00",2
"2014-07-15 19:05:00",0
"2014-07-15 19:10:00",2
"2014-07-15 19:15:00",0
"2014-07-15 19:20:00",5
"2014-07-15 19:25:00",0
"2014-07-15 19:30:00",18
"2014-07-15 19:35:00",2
"2014-07-15 19:40:00",55
"2014-07-15 19:45:00",14
"2014-07-15 19:50:00",0
"2014-07-15 19:55:00",22
"2014-07-15 20:00:00",8
"2014-07-15 20:05:00",0
"2014-07-15 20:10:00",0
"2014-07-15 20:15:00",6
"2014-07-15 20:20:00",72
"2014-07-15 20:25:00",0
"2014-07-15 20:30:00",0
"2014-07-15 20:35:00",0
"2014-07-15 20:40:00",0
"2014-07-15 20:45:00",0
"2014-07-15 20:50:00",0
"2014-07-15 20:55:00",0
"2014-07-15 21:00:00",0
"2014-07-15 21:05:00",0
"2014-07-15 21:10:00",0
"2014-07-15 21:15:00",0
"2014-07-15 21:20:00",0
"2014-07-15 21:25:00",0
"2014-07-15 21:30:00",0
"2014-07-15 21:35:00",0
"2014-07-15 21:40:00",0
"2014-07-15 21:45:00",0
"2014-07-15 21:50:00",0
"2014-07-15 21:55:00",13
"2014-07-15 22:00:00",0
"2014-07-15 22:05:00",0
"2014-07-15 22:10:00",0
"2014-07-15 22:15:00",0
"2014-07-15 22:20:00",0
"2014-07-15 22:25:00",0
"2014-07-15 22:30:00",0
"2014-07-15 22:35:00",10
"2014-07-15 22:40:00",10
"2014-07-15 22:45:00",0
"2014-07-15 22:50:00",0
"2014-07-15 22:55:00",0
"2014-07-15 23:00:00",0
"2014-07-15 23:05:00",0
"2014-07-15 23:10:00",0
"2014-07-15 23:15:00",0
"2014-07-15 23:20:00",0
"2014-07-15 23:25:00",0
"2014-07-15 23:30:00",0
"2014-07-15 23:35:00",0
"2014-07-15 23:40:00",0
"2014-07-15 23:45:00",0
"2014-07-15 23:50:00",0
"2014-07-15 23:55:00",0
"2014-07-16 00:00:00",0
"2014-07-16 00:05:00",0
"2014-07-16 00:10:00",0
"2014-07-16 00:15:00",0
"2014-07-16 00:20:00",0
"2014-07-16 00:25:00",0
"2014-07-16 00:30:00",0
"2014-07-16 00:35:00",0
"2014-07-16 00:40:00",0
"2014-07-16 00:45:00",0
"2014-07-16 00:50:00",0
"2014-07-16 00:55:00",0
"2014-07-16 01:00:00",0
"2014-07-16 01:05:00",0
"2014-07-16 01:10:00",13
"2014-07-16 01:15:00",3
"2014-07-16 01:20:00",0
"2014-07-16 01:25:00",0
"2014-07-16 01:30:00",0
"2014-07-16 01:35:00",0
"2014-07-16 01:40:00",0
"2014-07-16 01:45:00",1
"2014-07-16 01:50:00",0
"2014-07-16 01:55:00",0
"2014-07-16 02:00:00",0
"2014-07-16 02:05:00",0
"2014-07-16 02:10:00",0
"2014-07-16 02:15:00",0
"2014-07-16 02:20:00",0
"2014-07-16 02:25:00",0
"2014-07-16 02:30:00",0
"2014-07-16 02:35:00",0
"2014-07-16 02:40:00",0
"2014-07-16 02:45:00",0
"2014-07-16 02:50:00",0
"2014-07-16 02:55:00",0
"2014-07-16 03:00:00",0
"2014-07-16 03:05:00",0
"2014-07-16 03:10:00",0
"2014-07-16 03:15:00",0
"2014-07-16 03:20:00",0
"2014-07-16 03:25:00",0
"2014-07-16 03:30:00",0
"2014-07-16 03:35:00",2
"2014-07-16 03:40:00",10
"2014-07-16 03:45:00",0
"2014-07-16 03:50:00",0
"2014-07-16 03:55:00",0
